,id_limpio,title,author,subjects,genre_1
35,67895,ES MI HOMBRE: TRAGEDIA GROTESCA EN TRES ACTOS,"ARNICHES Y BARRERA, CARLOS",{'Spanish drama -- 20th century'},DRAMA
36,63328,"TEATRO SELECTO, TOMO 4 DE 4","CALDERÓN DE LA BARCA, PEDRO","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
37,63019,SAINETES,"ARNICHES Y BARRERA, CARLOS","{'Burlesque (Literature)', 'Spanish drama -- 20th century', 'Sainetes', 'Spanish drama (Comedy)'}",DRAMA
38,70542,"COMEDIAS, TOMO 3 DE 3 : $B LAS FIESTAS DE CERES, LAS RANAS, LAS JUNTERAS, PLUTO",ARISTOPHANES,"{'Athens (Greece) -- Drama', 'Greek drama (Comedy) -- Translations into Spanish', 'Aristophanes -- Translations into Spanish'}",DRAMA
39,57590,LA VERDAD SOSPECHOSA,"RUIZ DE ALARCÓN, JUAN","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
40,57955,LOS ENTREMESES,"CERVANTES SAAVEDRA, MIGUEL DE","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
41,59492,"DON ÁLVARO, O, LA FUERZA DEL SINO","RIVAS, ANGEL DE SAAVEDRA, DUQUE DE",{'Spanish drama -- 19th century'},DRAMA
42,10506,"ROMANCE DE LOBOS, COMEDIA BARBARA","VALLE-INCLÁN, RAMÓN DEL",{'Spanish drama'},DRAMA
43,14795,JUNTO AL PASIG,"RIZAL, JOSÉ",{'Drama'},DRAMA
44,57035,COMEDIAS INÉDITAS,"VEGA, LOPE DE","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
45,55917,"TEATRO SELECTO, TOMO 2 DE 4","CALDERÓN DE LA BARCA, PEDRO","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
46,52595,"QUINCE MINUTOS EN GLOBO: DISPARATE CÓMICO-LÍRICO-BAILABLE EN UN ACTO, EN PROSA Y VERSO","BARBERÁ, JOAQUÍN",{'Zarzuelas -- Librettos'},DRAMA
47,58643,"TEATRO SELECTO, TOMO 3 DE 4","CALDERÓN DE LA BARCA, PEDRO","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
