,id_limpio,title,author,genre,subjects,genre_1,genre_2,genre_3
819,12457,EL DIABLO COJUELO,"VÉLEZ DE GUEVARA, LUIS",FICTION / Satire,{'Devil -- Fiction'},FICTION,SATIRE,FICTION SATIRE
820,50526,"COMENTARIO DEL CORONEL FRANCISCO VERDUGO, DE LA GUERRA DE FRISIA,: EN XIV AÑOS QUE FUE GOBERNADOR Y CAPITAN GENERAL DE AQUEL ESTADO Y EJERCITO POR EL REY DON FELIPE II, NUESTRO SEÑOR","VERDUGO, FRANCISCO",HISTORY / Military,"{""Netherlands -- History -- Eighty Years' War, 1568-1648""}",HISTORY,MILITARY,HISTORY
821,41161,LA VIDA EN LOS CAMPOS: NOVELAS CORTAS,"VERGA, GIOVANNI",FICTION / Short Stories (single author),"{'Short stories, Italian -- Translations into Spanish', 'Italy -- Social life and customs -- Fiction'}",FICTION,SHORT STORIES (SINGLE AUTHOR),FICTION SHORT STORIES (SINGLE AUTHOR)
822,53798,RANCHOS (COSTUMBRES DEL CAMPO),"VIANA, JAVIER DE",FICTION / Cultural Heritage,"{'Short stories, Uruguayan', 'Uruguayan fiction'}",FICTION,CULTURAL HERITAGE,FICTION OTHERS
823,18798,"MEMORIA DIRIGIDA AL SR. MARQUEZ DE LORETO, VIREY Y CAPITAN GENERAL DE LAS PROVINCIAS DEL RIO DE LA PLATA","VIEDMA, FRANCISCO DE",HISTORY / Latin America,"{'Patagonia (Argentina and Chile) -- History', 'Argentina -- History -- 1776-1810'}",HISTORY,LATIN AMERICA,HISTORY
824,11302,"DIARIO DE LA NAVEGACION EMPREDIDA EN 1781: DESDE EL RIO NEGRO, PARA RECONOCER LA BAHIA DE TODOS LOS SANTOS, LAS ISLAS DEL BUEN SUCESO, Y EL DESAGUE DEL RIO COLORADO","VILLARINO, BASILIO",HISTORY / Expeditions & Discoveries,{'Argentina -- Discovery and exploration'},HISTORY,EXPEDITIONS & DISCOVERIES,HISTORY
825,62559,"DIARIO DEL PILOTO DE LA REAL ARMADA, D. BASILIO VILLARINO, DEL RECONOCIMIENTO, QUE HIZO DEL RÍO NEGRO, EN LA COSTA ORIENTAL DE PATAGONIA, EL AÑO DE 1782","VILLARINO, BASILIO",HISTORY / Expeditions & Discoveries,"{'Argentina -- Description and travel', 'Río Negro (Argentina) -- Description and travel'}",HISTORY,EXPEDITIONS & DISCOVERIES,HISTORY
826,61361,"JUICIO RAZONADO SOBRE LOS ACONTECIMIENTOS DE EUROPA, SITUACION DEL SUMO PONTÍFICE, Y TAMBIEN SOBRE LA VENTAJOSA POSICION EN QUE SE ENCUENTRA LA ESPAÑA, RESPECTO DEL RESTO DE EUROPA","VILLARRAGUT Y AQUIRIANO, ANTONIO",HISTORY / Europe,"{'Europe -- History -- 1848-1849', 'Spain -- Politics and government', 'Pius IX, Pope, 1792-1878'}",HISTORY,EUROPE,HISTORY
827,62475,ISLAS FILIPINAS - ADMINISTRACION DE JUSTICIA: MEMORIA DEDICADA Á LA EXPOSICION COLONIAL DE AMSTERDAM,"VILLARRAGUT Y ESTEVAN, CARLOS",HISTORY / Asia,"{'Philippines -- Politics and government -- 1521-1898', 'Justice, Administration of -- Philippines'}",HISTORY,ASIA,HISTORY
828,48940,LUCRECIA BORJA: ESTUDIO HISTÓRICO,"VILLA-URRUTIA, W. R. DE",HISTORY / Europe,"{'Italy -- History -- 1492-1559', 'Borgia, Lucrezia, 1480-1519'}",HISTORY,EUROPE,HISTORY
829,28281,CECILIA VALDÉS O LA LOMA DEL ÁNGEL,"VILLAVERDE, CIRILO",FICTION / Historical,{'Cuba -- Fiction'},FICTION,HISTORICAL,FICTION HISTORICAL
830,51465,"COMEDIA LLAMADA SELVAGIA, COMEDIA SERAFINA","VILLEGAS, ALONSO DE",DRAMA / European,"{'Spanish drama -- Classical period, 1500-1700'}",DRAMA,EUROPEAN,DRAMA
831,61508,ENEIDA; V.1 DE 2,VIRGIL,POETRY / Ancient & Classical,"{'Aeneas (Legendary character) -- Poetry', 'Epic poetry, Latin -- Translations into Spanish'}",POETRY,ANCIENT & CLASSICAL,POETRY
832,67197,ENEIDA; V. 2 DE 2,VIRGIL,POETRY / Ancient & Classical,"{'Aeneas (Legendary character) -- Poetry', 'Epic poetry, Latin -- Translations into Spanish'}",POETRY,ANCIENT & CLASSICAL,POETRY
833,5985,"ZADIG, Ó EL DESTINO, HISTORIA ORIENTAL",VOLTAIRE,FICTION / Literary,"{'French literature -- 18th century', 'Political fiction, French', 'Manners and customs -- Fiction'}",FICTION,LITERARY,FICTION LITERARY
834,7109,"CANDIDO, O EL OPTIMISMO",VOLTAIRE,FICTION / Satire,"{'Satire', 'Optimism -- Fiction'}",FICTION,SATIRE,FICTION SATIRE
835,9895,NOVELAS DE VOLTAIRE — TOMO PRIMERO,VOLTAIRE,FICTION / Literary,"{'French fiction -- Translations into Spanish', 'Voltaire, 1694-1778 -- Translations into Spanish'}",FICTION,LITERARY,FICTION LITERARY
836,59631,LA CASA DE LOS CUERVOS,"WAST, HUGO",FICTION / Literary,{'Santa Fe (Argentina : Province) -- History -- Fiction'},FICTION,LITERARY,FICTION LITERARY
837,24250,LECTURAS FÁCILES CON EJERCICIOS,"WILKINS, LAWRENCE A. (LAWRENCE AUGUSTUS)",FOREIGN LANGUAGE STUDY / Spanish,"{'Spanish language -- Readers', 'Spanish language -- Composition and exercises'}",FOREIGN LANGUAGE STUDY,SPANISH,OTHERS
838,66949,"LAS HELÉNICAS; Ó, HISTORIA GRIEGA DESDE EL AÑO 411 HASTA EL 362 ANTES DE JESUCRISTO",XENOPHON,HISTORY / Ancient,{'Greece -- History -- To 146 B.C.'},HISTORY,ANCIENT,HISTORY
839,24031,"EL TEATRO POR DENTRO: AUTORES, COMEDIANTES, ESCENAS DE LA VIDA DE BASTIDORES, ETC.","ZAMACOIS, EDUARDO",LITERARY COLLECTIONS / Essays,"{'Dramatists', 'Theater -- History', 'Actresses'}",LITERARY COLLECTIONS,ESSAYS,LITERARY COLLECTIONS
840,45171,MIS CONTEMPORANEOS; 1 VICENTE BLASCO IBÁÑEZ,"ZAMACOIS, EDUARDO",BIOGRAPHY & AUTOBIOGRAPHY / Literary Figures,"{'Blasco Ibáñez, Vicente, 1867-1928'}",BIOGRAPHY & AUTOBIOGRAPHY,LITERARY FIGURES,BIOGRAPHY & AUTOBIOGRAPHY
841,48302,LA ENFERMA: NOVELA,"ZAMACOIS, EDUARDO",FICTION / Literary,{'Spanish fiction'},FICTION,LITERARY,FICTION LITERARY
